,synset_offset,lex_filenum,ss_type,w_cnt,word with lex_id,p_cnt,ptr,f_cnt,frame,gloss
612,00133978,30,v,04,"[['sensualize', '0'], ['sensualise', '0'], ['carnalize', '0'], ['carnalise', '0']]",002,"[['@', '02579447', 'v', '0000'], ['+', '01778572', 'a', '0302']]",1,"[['09', '00']]",through carnal gratification
613,00134136,30,v,01,"[['etiolate', '0']]",003,"[['@', '00126264', 'v', '0000'], [';c', '00017222', 'n', '0000'], ['+', '00274206', 'n', '0101']]",2,"[['08', '00'], ['11', '00']]",and alter the natural development of (a green plant) by excluding sunlight
614,00134328,30,v,02,"[['barbarize', '0'], ['barbarise', '0']]",004,"[['@', '00126264', 'v', '0000'], ['+', '00272123', 'n', '0202'], ['+', '00272123', 'n', '0101'], ['$', '00134564', 'v', '0000']]",2,"[['09', '00'], ['10', '00']]","crude or savage in behavior or speech; ""his years in prison have barbarized the young man"""
615,00134564,30,v,02,"[['barbarize', '1'], ['barbarise', '1']]",003,"[['$', '00134328', 'v', '0000'], ['@', '00109660', 'v', '0000'], ['+', '00272123', 'n', '0202']]",1,"[['02', '00']]",crude or savage or barbaric in behavior or language
616,00134737,30,v,02,"[['alkalinize', '0'], ['alkalinise', '0']]",002,"[['@', '00126264', 'v', '0000'], [';c', '06084469', 'n', '0000']]",2,"[['08', '00'], ['11', '00']]","(a substance) alkaline; ""The oxide is alkalized"""
617,00134898,30,v,02,"[['alkalinize', '1'], ['alkalinise', '1']]",002,"[['@', '00109660', 'v', '0000'], [';c', '06084469', 'n', '0000']]",1,"[['01', '00']]",alkaline
618,00135013,30,v,04,"[['mythologize', '0'], ['mythologise', '0'], ['mythicize', '0'], ['mythicise', '0']]",007,"[['@', '00126264', 'v', '0000'], ['+', '06769238', 'n', '0202'], ['+', '06769238', 'n', '0101'], ['+', '06147873', 'n', '0101'], ['+', '07978423', 'n', '0101'], ['+', '06372680', 'n', '0101'], ['!', '00135578', 'v', '0101']]",1,"[['08', '00']]","into a myth; ""The Europeans have mythicized Rte. 66"""
619,00135285,30,v,02,"[['allegorize', '0'], ['allegorise', '0']]",009,"[['@', '00126264', 'v', '0000'], ['+', '09784160', 'n', '0202'], ['+', '06880664', 'n', '0202'], ['+', '06366581', 'n', '0201'], ['+', '06372095', 'n', '0203'], ['+', '09784160', 'n', '0101'], ['+', '06880664', 'n', '0102'], ['+', '06366581', 'n', '0101'], ['+', '06372095', 'n', '0103']]",2,"[['08', '00'], ['11', '00']]","into an allegory; ""The story was allegorized over time"""
620,00135578,30,v,02,"[['demythologize', '0'], ['demythologise', '0']]",005,"[['@', '00126264', 'v', '0000'], [';c', '06431740', 'n', '0000'], ['+', '06769032', 'n', '0202'], ['+', '06769032', 'n', '0101'], ['!', '00135013', 'v', '0101']]",1,"[['08', '00']]","the mythical element from (writings); ""the Bible should be demythologized and examined for its historical value"""
621,00135857,30,v,02,"[['bring', '0'], ['land', '0']]",003,"[['@', '00126264', 'v', '0000'], ['^', '00429060', 'v', '0108'], ['^', '02539788', 'v', '0103']]",4,"[['08', '00'], ['09', '00'], ['10', '00'], ['11', '00']]","into a different state; ""this may land you in jail"""
622,00136044,30,v,02,"[['secularize', '0'], ['secularise', '0']]",003,"[['@', '00146138', 'v', '0000'], ['+', '01155465', 'n', '0202'], ['+', '01155465', 'n', '0101']]",2,"[['08', '00'], ['11', '00']]","secular and draw away from a religious orientation; ""Ataturk secularized Turkey"""
623,00136254,30,v,03,"[['rubberize', '0'], ['rubberise', '0'], ['rubber', '0']]",003,"[['@', '01264283', 'v', '0000'], ['+', '15006258', 'n', '0301'], ['+', '15006258', 'n', '0101']]",1,"[['08', '00']]","or impregnate with rubber; ""rubberize fabric for rain coats"""
624,00136443,30,v,01,"[['coarsen', '0']]",001,"[['@', '00126264', 'v', '0000']]",2,"[['08', '00'], ['11', '00']]","less subtle or refined; ""coarsen one's ideals"""
625,00136567,30,v,02,"[['anodize', '0'], ['anodise', '0']]",001,"[['@', '01264283', 'v', '0000']]",1,"[['08', '00']]",a metal with an oxide coat
626,00136673,30,v,01,"[['citrate', '0']]",002,"[['@', '00146138', 'v', '0000'], ['+', '14812872', 'n', '0101']]",1,"[['08', '00']]",to form a salt or ester of citric acid
627,00136800,30,v,01,"[['equilibrate', '0']]",005,"[['@', '00146138', 'v', '0000'], [';c', '06084469', 'n', '0000'], ['+', '13934900', 'n', '0101'], ['+', '13897996', 'n', '0102'], ['+', '13446197', 'n', '0102']]",2,"[['08', '00'], ['11', '00']]",to a chemical stasis or equilibrium
628,00136991,30,v,03,"[['leave', '2'], ['leave_alone', '0'], ['leave_behind', '3']]",003,"[['$', '02730135', 'v', '0000'], ['@', '02725714', 'v', '0000'], ['~', '00496673', 'v', '0000']]",6,"[['08', '00'], ['09', '00'], ['10', '00'], ['11', '00'], ['20', '00'], ['21', '00']]","unchanged or undisturbed or refrain from taking; ""leave it as is""; ""leave the young fawn alone""; ""leave the flowers that you see in the park behind"""
629,00137313,30,v,06,"[['affect', '0'], ['impact', '0'], ['bear_upon', '0'], ['bear_on', '0'], ['touch_on', '1'], ['touch', '0']]",017,"[['@', '00126264', 'v', '0000'], ['+', '11414411', 'n', '0201'], ['+', '00157957', 'n', '0203'], ['~', '00137791', 'v', '0000'], ['~', '00137940', 'v', '0000'], ['~', '00138069', 'v', '0000'], ['~', '00138217', 'v', '0000'], ['~', '00503164', 'v', '0000'], ['~', '00515154', 'v', '0000'], ['~', '00564300', 'v', '0000'], ['~', '00836926', 'v', '0000'], ['~', '01036319', 'v', '0000'], ['~', '01209135', 'v', '0000'], ['~', '02110927', 'v', '0000'], ['~', '02507736', 'v', '0000'], ['~', '02536557', 'v', '0000'], ['~', '02602685', 'v', '0000']]",4,"[['08', '00'], ['09', '00'], ['10', '00'], ['11', '00']]","an effect upon; ""Will the new rules affect me?"""
630,00137791,30,v,01,"[['strike_a_blow', '0']]",001,"[['@', '00137313', 'v', '0000']]",1,"[['22', '00']]","adversely; ""The court ruling struck a blow at the old segregation laws"""
631,00137940,30,v,01,"[['repercuss', '0']]",002,"[['@', '00137313', 'v', '0000'], ['+', '11416722', 'n', '0101']]",1,"[['01', '00']]",repercussions; have an unwanted effect
632,00138069,30,v,01,"[['tell_on', '0']]",001,"[['@', '00137313', 'v', '0000']]",2,"[['10', '00'], ['11', '00']]","an effect or strain on somebody; ""Each step told on his tired legs"""
633,00138217,30,v,01,"[['redound', '1']]",001,"[['@', '00137313', 'v', '0000']]",1,"[['04', '00']]","an effect for good or ill; ""Her efforts will redound to the general good"""
634,00138360,30,v,02,"[['bacterize', '0'], ['bacterise', '0']]",003,"[['@', '02110927', 'v', '0000'], ['+', '01348530', 'n', '0202'], ['+', '01348530', 'n', '0102']]",1,"[['08', '00']]",to the action of bacteria
635,00138508,30,v,03,"[['change_by_reversal', '0'], ['turn', '0'], ['reverse', '0']]",020,"[['@', '00109660', 'v', '0000'], ['+', '01760488', 'a', '0301'], ['+', '13858604', 'n', '0301'], ['+', '00346693', 'n', '0302'], ['+', '00234892', 'n', '0301'], ['+', '07351612', 'n', '0202'], ['^', '01510399', 'v', '0202'], ['^', '01510576', 'v', '0203'], ['~', '00121678', 'v', '0000'], ['~', '00139160', 'v', '0000'], ['~', '00139367', 'v', '0000'], ['~', '00140751', 'v', '0000'], ['~', '00199659', 'v', '0000'], ['~', '00202236', 'v', '0000'], ['~', '00380424', 'v', '0000'], ['~', '00384055', 'v', '0000'], ['~', '00387310', 'v', '0000'], ['~', '00394563', 'v', '0000'], ['~', '00867062', 'v', '0000'], ['~', '01519977', 'v', '0000']]",5,"[['01', '00'], ['02', '00'], ['08', '00'], ['10', '00'], ['11', '00']]","to the contrary; ""The trend was reversed""; ""the tides turned against him""; ""public opinion turned when it was revealed that the president had an affair with a White House intern"""
636,00139160,30,v,02,"[['turn_the_tables', '0'], ['turn_the_tide', '0']]",001,"[['@', '00138508', 'v', '0000']]",2,"[['01', '00'], ['02', '00']]","a complete reversal of the circumstances; ""The tables are turned now that the Republicans are in power!"""
637,00139367,30,v,01,"[['commutate', '0']]",003,"[['@', '00138508', 'v', '0000'], ['+', '00728826', 'a', '0101'], ['+', '03078670', 'n', '0101']]",1,"[['08', '00']]",the direction of (an alternating electric current) each half cycle so as to produce a unidirectional current
638,00139586,30,v,02,"[['alchemize', '0'], ['alchemise', '0']]",003,"[['@', '00126264', 'v', '0000'], [';c', '06084469', 'n', '0000'], ['+', '05778749', 'n', '0101']]",1,"[['08', '00']]",(elements) by alchemy
639,00139729,30,v,02,"[['alcoholize', '0'], ['alcoholise', '0']]",003,"[['@', '00126264', 'v', '0000'], [';c', '00243918', 'n', '0000'], ['+', '07884567', 'n', '0101']]",2,"[['08', '00'], ['11', '00']]","alcoholic, as by fermenting; ""alcoholize prunes"""
640,00139908,30,v,02,"[['alcoholize', '1'], ['alcoholise', '1']]",003,"[['@', '00497705', 'v', '0000'], [';c', '00243918', 'n', '0000'], ['+', '07884567', 'n', '0101']]",2,"[['08', '00'], ['11', '00']]","or infuse with alcohol; ""alcoholize the fruit and let them sit in the refrigerator"""
641,00140123,30,v,01,"[['change_integrity', '0']]",029,"[['@', '00109660', 'v', '0000'], ['~', '00265941', 'v', '0000'], ['~', '00266197', 'v', '0000'], ['~', '00266586', 'v', '0000'], ['~', '00306017', 'v', '0000'], ['~', '00306723', 'v', '0000'], ['~', '00322847', 'v', '0000'], ['~', '00330565', 'v', '0000'], ['~', '00334186', 'v', '0000'], ['~', '00364629', 'v', '0000'], ['~', '00366275', 'v', '0000'], ['~', '00366858', 'v', '0000'], ['~', '00378042', 'v', '0000'], ['~', '00394813', 'v', '0000'], ['~', '00397576', 'v', '0000'], ['~', '00399074', 'v', '0000'], ['~', '00431610', 'v', '0000'], ['~', '00442267', 'v', '0000'], ['~', '00443984', 'v', '0000'], ['~', '00445169', 'v', '0000'], ['~', '00445467', 'v', '0000'], ['~', '00445940', 'v', '0000'], ['~', '00447309', 'v', '0000'], ['~', '00501048', 'v', '0000'], ['~', '00507143', 'v', '0000'], ['~', '00507331', 'v', '0000'], ['~', '01458973', 'v', '0000'], ['~', '02041877', 'v', '0000'], ['~', '02467662', 'v', '0000']]",4,"[['01', '00'], ['02', '00'], ['08', '00'], ['11', '00']]",in physical make-up
642,00140751,30,v,03,"[['switch_over', '0'], ['switch', '3'], ['exchange', '1']]",004,"[['@', '00138508', 'v', '0000'], ['+', '00196485', 'n', '0302'], ['+', '07443761', 'n', '0205'], ['+', '00196084', 'n', '0201']]",3,"[['02', '00'], ['21', '00'], ['22', '00']]","over, change around, as to a new order or sequence"
643,00140967,30,v,03,"[['change_shape', '0'], ['change_form', '0'], ['deform', '2']]",016,"[['@', '00109660', 'v', '0000'], ['+', '07358060', 'n', '0301'], ['~', '00125289', 'v', '0000'], ['~', '00141524', 'v', '0000'], ['~', '00263231', 'v', '0000'], ['~', '00392960', 'v', '0000'], ['~', '00435853', 'v', '0000'], ['~', '00463469', 'v', '0000'], ['~', '00476965', 'v', '0000'], ['~', '00477665', 'v', '0000'], ['~', '00546609', 'v', '0000'], ['~', '01223182', 'v', '0000'], ['~', '01280014', 'v', '0000'], ['~', '02035919', 'v', '0000'], ['~', '02054989', 'v', '0000'], ['~', '02081946', 'v', '0000']]",1,"[['01', '00']]",a different shape or form
644,00141362,30,v,01,"[['individuate', '0']]",002,"[['@', '00142191', 'v', '0000'], ['+', '04763293', 'n', '0103']]",1,"[['11', '00']]","individual shape or form to; ""Language that individuates his memories"""
645,00141524,30,v,02,"[['granulate', '1'], ['grain', '1']]",002,"[['@', '00140967', 'v', '0000'], ['+', '09290777', 'n', '0201']]",1,"[['01', '00']]",granular
646,00141632,30,v,01,"[['tie', '0']]",002,"[['@', '00142191', 'v', '0000'], ['+', '03815615', 'n', '0102']]",1,"[['08', '00']]","a knot or bow in; ""tie a necktie"""
647,00141749,30,v,01,"[['terrace', '0']]",002,"[['@', '00142191', 'v', '0000'], ['+', '09456207', 'n', '0101']]",1,"[['08', '00']]","into terraces as for cultivation; ""The Incas terraced their mountainous land"""
648,00141914,30,v,01,"[['fork', '1']]",003,"[['@', '00142191', 'v', '0000'], ['+', '13914265', 'n', '0101'], ['+', '03383948', 'n', '0101']]",1,"[['08', '00']]","like a fork; ""She forked her fingers"""
649,00142055,30,v,01,"[['constellate', '0']]",003,"[['@', '00144850', 'v', '0000'], ['+', '09252970', 'n', '0101'], ['+', '05731779', 'n', '0102']]",1,"[['01', '00']]",a constellation or cluster
650,00142191,30,v,02,"[['shape', '0'], ['form', '1']]",036,"[['@', '00126264', 'v', '0000'], ['+', '03384535', 'n', '0201'], ['+', '05930736', 'n', '0201'], ['+', '03385117', 'n', '0201'], ['+', '00925207', 'n', '0201'], ['+', '05064037', 'n', '0101'], ['+', '04677514', 'n', '0102'], ['+', '10284064', 'n', '0102'], ['+', '04184435', 'n', '0101'], ['~', '00141362', 'v', '0000'], ['~', '00141632', 'v', '0000'], ['~', '00141749', 'v', '0000'], ['~', '00141914', 'v', '0000'], ['~', '00142967', 'v', '0000'], ['~', '00143065', 'v', '0000'], ['~', '00143204', 'v', '0000'], ['~', '00143338', 'v', '0000'], ['~', '00143540', 'v', '0000'], ['~', '00143704', 'v', '0000'], ['~', '00143914', 'v', '0000'], ['~', '00144314', 'v', '0000'], ['~', '00144446', 'v', '0000'], ['~', '00144544', 'v', '0000'], ['~', '00145147', 'v', '0000'], ['~', '00145299', 'v', '0000'], ['~', '00145448', 'v', '0000'], ['~', '00263471', 'v', '0000'], ['~', '00300537', 'v', '0000'], ['~', '00463778', 'v', '0000'], ['~', '00476744', 'v', '0000'], ['~', '00477247', 'v', '0000'], ['~', '00477382', 'v', '0000'], ['~', '00477528', 'v', '0000'], ['~', '00477828', 'v', '0000'], ['~', '01522716', 'v', '0000'], ['~', '01584450', 'v', '0000']]",1,"[['08', '00']]","shape or form to; ""shape the dough""; ""form the young child's character"""
651,00142967,30,v,01,"[['tabulate', '1']]",001,"[['@', '00142191', 'v', '0000']]",1,"[['08', '00']]",or cut with a flat surface
652,00143065,30,v,01,"[['dimension', '0']]",003,"[['@', '00142191', 'v', '0000'], ['+', '06011446', 'n', '0101'], ['+', '05093581', 'n', '0101']]",1,"[['08', '00']]",or form to required dimensions
653,00143204,30,v,01,"[['roll', 'a']]",003,"[['@', '00142191', 'v', '0000'], ['+', '13875970', 'n', '0103'], ['+', '07441619', 'n', '0103']]",1,"[['08', '00']]","by rolling; ""roll a cigarette"""
654,00143338,30,v,01,"[['draw', '4']]",002,"[['@', '00142191', 'v', '0000'], ['$', '00430808', 'v', '0000']]",2,"[['08', '00'], ['11', '00']]","stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching; ""draw steel"""
655,00143540,30,v,01,"[['strike', '0']]",002,"[['$', '01675073', 'v', '0000'], ['@', '00142191', 'v', '0000']]",1,"[['11', '00']]","to form (an electric arc) between electrodes of an arc lamp; ""strike an arc"""
656,00143704,30,v,04,"[['crystallize', '2'], ['crystallise', '2'], ['crystalise', '2'], ['crystalize', '2']]",002,"[['@', '00142191', 'v', '0000'], ['+', '05772044', 'n', '0101']]",1,"[['08', '00']]","to take on a definite and clear shape; ""He tried to crystallize his thoughts"""
657,00143914,30,v,01,"[['twist', '0']]",002,"[['@', '00142191', 'v', '0000'], ['+', '05259512', 'n', '0104']]",1,"[['08', '00']]","into twists; ""Twist the strips of dough"""
658,00144040,30,v,01,"[['culminate', '2']]",001,"[['@', '00144850', 'v', '0000']]",1,"[['04', '00']]","to, or form, a summit; ""The helmet culminated in a crest"""
659,00144169,30,v,02,"[['granulate', '0'], ['grain', '0']]",004,"[['>', '00141524', 'v', '0000'], ['@', '00144850', 'v', '0000'], ['+', '09290777', 'n', '0201'], ['+', '00925866', 'n', '0101']]",1,"[['08', '00']]",into grains
660,00144314,30,v,01,"[['sliver', '1']]",003,"[['@', '00142191', 'v', '0000'], ['+', '09442838', 'n', '0102'], ['+', '09385137', 'n', '0102']]",1,"[['08', '00']]","into slivers; ""sliver wood"""
661,00144446,30,v,01,"[['ridge', '0']]",002,"[['@', '00142191', 'v', '0000'], ['+', '13902048', 'n', '0101']]",1,"[['08', '00']]",into a ridge
662,00144544,30,v,01,"[['plume', '0']]",001,"[['@', '00142191', 'v', '0000']]",1,"[['11', '00']]","a plume; ""The chimneys were pluming the sky""; ""The engine was pluming black smoke"""
663,00144694,30,v,02,"[['conglobate', '0'], ['conglobe', '0']]",004,"[['@', '00144850', 'v', '0000'], ['+', '07375214', 'n', '0202'], ['+', '13899404', 'n', '0102'], ['+', '13865786', 'n', '0102']]",1,"[['01', '00']]",a globular shape
664,00144850,30,v,01,"[['form', '5']]",011,"[['@', '00109660', 'v', '0000'], ['~', '00142055', 'v', '0000'], ['~', '00144040', 'v', '0000'], ['~', '00144169', 'v', '0000'], ['~', '00144694', 'v', '0000'], ['~', '01484392', 'v', '0000'], ['~', '01585021', 'v', '0000'], ['~', '01585142', 'v', '0000'], ['~', '01585276', 'v', '0000'], ['~', '02624128', 'v', '0000'], ['~', '02625521', 'v', '0000']]",1,"[['01', '00']]","a form or shape; ""the water formed little beads"""
665,00145147,30,v,03,"[['round', '0'], ['round_out', '1'], ['round_off', '1']]",003,"[['@', '00142191', 'v', '0000'], ['+', '04114193', 'n', '0101'], ['~', '00145902', 'v', '0000']]",1,"[['08', '00']]","round; ""round the edges"""
666,00145299,30,v,02,"[['scallop', '0'], ['scollop', '0']]",002,"[['@', '00142191', 'v', '0000'], ['+', '13874558', 'n', '0101']]",1,"[['08', '00']]","or cut in scallops; ""scallop the hem of the dress"""
667,00145448,30,v,02,"[['square', '0'], ['square_up', '0']]",003,"[['@', '00142191', 'v', '0000'], ['+', '04291511', 'n', '0101'], ['+', '13878634', 'n', '0101']]",1,"[['08', '00']]","square; ""Square the circle""; ""square the wood with a file"""
668,00145623,30,v,04,"[['round_off', '0'], ['round_down', '0'], ['round_out', '2'], ['round', '3']]",001,"[['@', '00126264', 'v', '0000']]",1,"[['08', '00']]","as a round number; ""round off the amount"""
669,00145772,30,v,01,"[['prim', '0']]",001,"[['@', '01387786', 'v', '0000']]",1,"[['08', '00']]","one's lips; ""She primmed her lips after every bite of food"""
670,00145902,30,v,01,"[['purse', '0']]",002,"[['@', '00145147', 'v', '0000'], ['~', '00146023', 'v', '0000']]",1,"[['08', '00']]",one's lips into a rounded shape
671,00146023,30,v,02,"[['pooch', '0'], ['pooch_out', '0']]",001,"[['@', '00145902', 'v', '0000']]",1,"[['08', '00']]",one's lips as if intending to kiss
672,00146138,30,v,02,"[['change_state', '0'], ['turn', '4']]",080,"[['$', '02626604', 'v', '0000'], ['@', '00109660', 'v', '0000'], ['+', '07423365', 'n', '0201'], ['+', '00195415', 'n', '0201'], ['^', '00205598', 'v', '0201'], ['^', '01808626', 'v', '0201'], ['~', '00018526', 'v', '0000'], ['~', '00023868', 'v', '0000'], ['~', '00024047', 'v', '0000'], ['~', '00026153', 'v', '0000'], ['~', '00026385', 'v', '0000'], ['~', '00045817', 'v', '0000'], ['~', '00046151', 'v', '0000'], ['~', '00047945', 'v', '0000'], ['~', '00053889', 'v', '0000'], ['~', '00054285', 'v', '0000'], ['$', '00125841', 'v', '0000'], ['~', '00136044', 'v', '0000'], ['~', '00136673', 'v', '0000'], ['~', '00136800', 'v', '0000'], ['~', '00147815', 'v', '0000'], ['~', '00149583', 'v', '0000'], ['~', '00203866', 'v', '0000'], ['~', '00205046', 'v', '0000'], ['~', '00220276', 'v', '0000'], ['~', '00232843', 'v', '0000'], ['~', '00237511', 'v', '0000'], ['~', '00258366', 'v', '0000'], ['~', '00264875', 'v', '0000'], ['~', '00265094', 'v', '0000'], ['~', '00266798', 'v', '0000'], ['~', '00267249', 'v', '0000'], ['~', '00267519', 'v', '0000'], ['~', '00268165', 'v', '0000'], ['~', '00270699', 'v', '0000'], ['~', '00306539', 'v', '0000'], ['~', '00358431', 'v', '0000'], ['~', '00360932', 'v', '0000'], ['~', '00361388', 'v', '0000'], ['~', '00369628', 'v', '0000'], ['~', '00369864', 'v', '0000'], ['~', '00372665', 'v', '0000'], ['~', '00373520', 'v', '0000'], ['~', '00374135', 'v', '0000'], ['~', '00375021', 'v', '0000'], ['~', '00377002', 'v', '0000'], ['~', '00389238', 'v', '0000'], ['~', '00410649', 'v', '0000'], ['~', '00430999', 'v', '0000'], ['~', '00431117', 'v', '0000'], ['~', '00446514', 'v', '0000'], ['~', '00446885', 'v', '0000'], ['~', '00447771', 'v', '0000'], ['~', '00448680', 'v', '0000'], ['~', '00451838', 'v', '0000'], ['~', '00457327', 'v', '0000'], ['~', '00457569', 'v', '0000'], ['~', '00457770', 'v', '0000'], ['~', '00457998', 'v', '0000'], ['~', '00458471', 'v', '0000'], ['~', '00467451', 'v', '0000'], ['~', '00474994', 'v', '0000'], ['~', '00498662', 'v', '0000'], ['~', '00498836', 'v', '0000'], ['~', '00499422', 'v', '0000'], ['~', '00499512', 'v', '0000'], ['~', '00500638', 'v', '0000'], ['~', '00502332', 'v', '0000'], ['~', '00506225', 'v', '0000'], ['~', '00506377', 'v', '0000'], ['~', '00521748', 'v', '0000'], ['~', '01346804', 'v', '0000'], ['~', '01346978', 'v', '0000'], ['~', '01540449', 'v', '0000'], ['~', '01763829', 'v', '0000'], ['~', '02342800', 'v', '0000'], ['~', '02497400', 'v', '0000'], ['~', '02636810', 'v', '0000'], ['~', '02757304', 'v', '0000'], ['~', '02760622', 'v', '0000']]",2,"[['01', '00'], ['02', '00']]","a transformation or a change of position or action; ""We turned from Socialism to Capitalism""; ""The people turned against the President when he stole the election"""
673,00147815,30,v,01,"[['fall', '8']]",010,"[['^', '02537642', 'v', '0000'], ['^', '02530003', 'v', '0000'], ['^', '01997862', 'v', '0000'], ['^', '00334186', 'v', '0000'], ['^', '00397405', 'v', '0000'], ['^', '00204391', 'v', '0000'], ['^', '01113806', 'v', '0000'], ['@', '00146138', 'v', '0000'], ['~', '00148341', 'v', '0000'], ['~', '00148597', 'v', '0000']]",6,"[['04', '00'], ['06', '00'], ['07', '00'], ['08', '00'], ['11', '00'], ['22', '00']]","suddenly and passively into a state of body or mind; ""fall into a trap""; ""She fell ill""; ""They fell out of favor""; ""Fall in love""; ""fall asleep""; ""fall prey to an imposter""; ""fall into a strange way of thinking""; ""she fell to pieces after she lost her work"""
674,00148341,30,v,01,"[['drop', '9']]",001,"[['@', '00147815', 'v', '0000']]",1,"[['02', '00']]","or sink into a state of exhaustion or death; ""shop til you drop"""
675,00148472,30,v,02,"[['fall_off', '1'], ['fall_away', '1']]",002,"[['@', '00426958', 'v', '0000'], ['+', '13556509', 'n', '0104']]",1,"[['01', '00']]",in size or intensity
676,00148597,30,v,01,"[['fall_in_love', '0']]",001,"[['@', '00147815', 'v', '0000']]",2,"[['02', '00'], ['22', '00']]","to experience feelings of love towards; ""She fell in love with her former student"""
677,00148763,30,v,01,"[['suspend', '1']]",005,"[['@', '00126264', 'v', '0000'], [';c', '06084469', 'n', '0000'], ['+', '14591091', 'n', '0101'], ['+', '01017701', 'n', '0101'], ['~', '00148967', 'v', '0000']]",1,"[['08', '00']]","to be held in suspension in a fluid; ""suspend the particles"""
678,00148967,30,v,01,"[['resuspend', '0']]",003,"[['@', '00148763', 'v', '0000'], [';c', '06084469', 'n', '0000'], ['+', '14591481', 'n', '0101']]",1,"[['08', '00']]","back into suspension; ""resuspend particles"""
679,00149118,30,v,02,"[['sober_up', '0'], ['sober', '0']]",002,"[['*', '01171183', 'v', '0000'], ['@', '00149583', 'v', '0000']]",1,"[['02', '00']]","sober after excessive alcohol consumption; ""Keep him in bed until he sobers up"""
680,00149296,30,v,02,"[['sober_up', '1'], ['sober', '1']]",001,"[['@', '00149583', 'v', '0000']]",1,"[['02', '00']]","more realistic; ""After thinking about the potential consequences of his plan, he sobered up"""
681,00149469,30,v,01,"[['sober', '2']]",001,"[['@', '00126264', 'v', '0000']]",2,"[['10', '00'], ['11', '00']]","to become sober; ""A sobering thought"""
682,00149583,30,v,03,"[['become', '0'], ['go', '4'], ['get', '0']]",013,"[['@', '00146138', 'v', '0000'], ['^', '00248659', 'v', '0305'], ['^', '00248659', 'v', '0306'], ['^', '01108627', 'v', '0302'], ['^', '01111028', 'v', '0306'], ['~', '00149118', 'v', '0000'], ['~', '00149296', 'v', '0000'], ['~', '00150096', 'v', '0000'], ['~', '00522282', 'v', '0000'], ['~', '00549063', 'v', '0000'], ['~', '00557404', 'v', '0000'], ['~', '00558536', 'v', '0000'], ['~', '00558673', 'v', '0000']]",4,"[['04', '00'], ['06', '00'], ['07', '00'], ['22', '00']]","or assume a certain state or condition; ""He became annoyed when he heard the bad news""; ""It must be getting more serious""; ""her face went red with anger""; ""She went into ecstasy""; ""Get going!"""
683,00150096,30,v,01,"[['work', 'a']]",001,"[['@', '00149583', 'v', '0000']]",1,"[['06', '00']]","at a certain condition through repeated motion; ""The stitches of the hem worked loose after she wore the skirt many times"""
684,00150287,30,v,03,"[['adjust', '1'], ['conform', '1'], ['adapt', '2']]",017,"[['@', '00109660', 'v', '0000'], ['+', '00046109', 'a', '0301'], ['+', '01027263', 'a', '0301'], ['+', '13427078', 'n', '0301'], ['+', '13427078', 'n', '0302'], ['+', '09957614', 'n', '0201'], ['+', '00046558', 'a', '0101'], ['+', '13427078', 'n', '0103'], ['+', '07369604', 'n', '0101'], ['~', '00151114', 'v', '0000'], ['~', '00151574', 'v', '0000'], ['~', '00159642', 'v', '0000'], ['~', '00314782', 'v', '0000'], ['~', '00393677', 'v', '0000'], ['~', '00456596', 'v', '0000'], ['~', '02542795', 'v', '0000'], ['~', '02659656', 'v', '0000']]",3,"[['01', '00'], ['02', '00'], ['22', '00']]","or conform oneself to new or different conditions; ""We must adjust to the bad economic situation"""
685,00150776,30,v,02,"[['follow', '0'], ['conform_to', '0']]",002,"[['@', '01742886', 'v', '0000'], ['~', '00150977', 'v', '0000']]",4,"[['08', '00'], ['09', '00'], ['10', '00'], ['11', '00']]","in accordance or in agreement with; ""Follow a pattern""; ""Follow my example"""
686,00150977,30,v,01,"[['go_by', '0']]",001,"[['@', '00150776', 'v', '0000']]",2,"[['08', '00'], ['11', '00']]","or act in accordance with; ""Go by this rule and you'll be safe"""
687,00151114,30,v,02,"[['readjust', '0'], ['readapt', '3']]",002,"[['@', '00150287', 'v', '0000'], ['+', '00194127', 'n', '0101']]",2,"[['02', '00'], ['22', '00']]","anew; ""After moving back to America, he had to readjust"""
688,00151279,30,v,01,"[['proportion', '0']]",004,"[['@', '00296178', 'v', '0000'], ['+', '13815742', 'n', '0101'], ['~', '00428247', 'v', '0000'], ['~', '00428418', 'v', '0000']]",2,"[['08', '00'], ['21', '00']]",in size relative to other things
689,00151448,30,v,01,"[['reconstruct', '1']]",001,"[['@', '00126264', 'v', '0000']]",1,"[['09', '00']]",somebody to adapt or reform socially or politically
690,00151574,30,v,01,"[['readapt', '0']]",001,"[['@', '00150287', 'v', '0000']]",3,"[['02', '00'], ['09', '00'], ['22', '00']]","anew; ""He readapted himself"""
